data_hora,nome_produto,preco,link_produto,plataforma
2026-09-14 22:12:00,Filamento PETG 1kg Preto,119.90,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-15 22:12:00,Filamento PETG 1kg Preto,112.50,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-16 22:12:00,Filamento PETG 1kg Preto,105.00,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-17 22:12:00,Filamento PETG 1kg Preto,108.90,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-18 22:12:00,Filamento PETG 1kg Preto,94.90,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-19 22:12:00,Filamento PETG 1kg Preto,87.90,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-20 10:46:00,Filamento PETG 1kg Preto,75.00,https://www.mercadolivre.com.br/petg-filamento-de-impressora-premium-3d-petg-175mm-1kg/up/MLBU4651329453,Mercado Livre
2026-09-20 10:46:00,Mouse Sem Fio Recarregável,10.00,https://shopee.com.br/Mouse-Sem-Fio-Bluetooth-5.2-2.4G-Recarregável-LED-RGB-com-Mouse-Pad-Kit-Completo-i.787370863.58265991517,Shopee
2026-09-20 14:01:39,Mouse Sem Fio Recarregável,10.00,https://shopee.com.br/Mouse-Sem-Fio-Bluetooth-5.2-2.4G-Recarregável-LED-RGB-com-Mouse-Pad-Kit-Completo-i.787370863.58265991517,Shopee
2026-09-20 18:19:06,Filamento PETG 1kg Nacional,69.90,https://www.mercadolivre.com.br/filamento-petg-1kg-impressao-3d-175mm-xfull-premium-branco/up/MLBU4904003297,Mercado Livre
2026-09-20 18:19:06,Filamento Petg 1kg Branco Fluion 3d,65.40,https://www.mercadolivre.com.br/filamento-petg-1kg-branco-fluion-3d/up/MLBU3982870746,Mercado Livre
2026-09-20 18:19:06,Filamento PETG 1kg Preto,69.90,https://www.mercadolivre.com.br/filamento-petg-1kg-impressao-3d-175mm-xfull-premium-branco/up/MLBU4904003297,Mercado Livre
2026-09-20 22:16:48,Mouse Sem Fio Recarregável,10.00,https://shopee.com.br/Mouse-Sem-Fio-Bluetooth-5.2-2.4G-Recarregável-LED-RGB-com-Mouse-Pad-Kit-Completo-i.787370863.58265991517,Shopee
2026-09-21 09:51:56,Mouse Sem Fio Recarregável,10.00,https://shopee.com.br/Mouse-Sem-Fio-Bluetooth-5.2-2.4G-Recarregável-LED-RGB-com-Mouse-Pad-Kit-Completo-i.787370863.58265991517,Shopee
2026-09-21 18:00:58,Mouse Sem Fio Recarregável,7.99,https://shopee.com.br/Mouse-Usb-Optico-Com-Fio-Led-Basico-Ergonomico-1000-Dpi-*ENVIO-MESMO-DIA-ÚTIL*-i.1618301129.58258661232,Shopee
2026-09-21 22:37:09,Filamento Petg amarelo,109.90,https://www.mercadolivre.com.br/filamento-3d-petg-1kg-175mm-masterprint-translucido-amarelo/up/MLBU5168625760,Mercado Livre
2026-09-21 22:37:09,Filamento PETG 1kg Preto,75.00,https://www.mercadolivre.com.br/petg-filamento-de-impressora-premium-3d-petg-175mm-1kg/up/MLBU4651329453,Mercado Livre
